Location	County/Zone	St.	Date	Time	T.Z.	Type	Mag	Dth	Inj	PrD	CrD
HINDS (ZONE)	HINDS (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
COVINGTON (ZONE)	COVINGTON (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
CARROLL (ZONE)	CARROLL (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
ATTALA (ZONE)	ATTALA (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
ADAMS (ZONE)	ADAMS (ZONE)	MS	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
MOREHOUSE (ZONE)	MOREHOUSE (ZONE)	LA	10/3/2002	10:00	CST	Hurricane (typhoon)		0	0	500.00K	0.00K
GUAM (ZONE)	GUAM (ZONE)	XX	12/8/2002	8:00	SST	Hurricane (typhoon)		1	300	125.000M	0.00K
NORTHERN MARIANAS (ZONE)	NORTHERN MARIANAS (ZONE)	XX	12/8/2002	8:00	SST	Hurricane (typhoon)		0	0	0.00K	0.00K
SAIPAN (ZONE)	SAIPAN (ZONE)	XX	12/8/2002	8:00	SST	Hurricane (typhoon)		0	6	0.00K	0.00K
ROTA (ZONE)	ROTA (ZONE)	XX	12/8/2002	8:00	SST	Hurricane (typhoon)		0	10	50.000M	0.00K
BRAZORIA (ZONE)	BRAZORIA (ZONE)	TX	7/14/2003	18:00	CST	Hurricane (typhoon)		0	0	1.270M	0.00K
GALVESTON (ZONE)	GALVESTON (ZONE)	TX	7/14/2003	18:00	CST	Hurricane (typhoon)		0	0	8.300M	0.00K
CHAMBERS (ZONE)	CHAMBERS (ZONE)	TX	7/14/2003	18:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
MATAGORDA (ZONE)	MATAGORDA (ZONE)	TX	7/14/2003	18:00	CST	Hurricane (typhoon)		0	0	716.30K	0.00K
JACKSON (ZONE)	JACKSON (ZONE)	TX	7/14/2003	18:00	CST	Hurricane (typhoon)		0	2	594.00K	0.00K
HARRIS (ZONE)	HARRIS (ZONE)	TX	7/14/2003	18:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
CALHOUN (ZONE)	CALHOUN (ZONE)	TX	7/15/2003	8:30	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
REFUGIO (ZONE)	REFUGIO (ZONE)	TX	7/15/2003	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
ARANSAS (ZONE)	ARANSAS (ZONE)	TX	7/15/2003	10:00	CST	Hurricane (typhoon)		0	0	0.00K	0.00K
